DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
23-Mar-2026,EQ,"195.46","197.95","189.00","198.92","190.40","189.94","192.28","376.95","142.00",1318704,"25,35,56,855.61",16443
20-Mar-2026,EQ,"194.99","203.00","194.90","193.86","198.50","198.92","200.03","376.95","142.00",681428,"13,63,02,770.71",9753
19-Mar-2026,EQ,"198.00","199.70","192.00","201.74","194.40","193.86","195.29","376.95","142.00",623382,"12,17,43,260.83",9853
18-Mar-2026,EQ,"199.90","206.00","198.64","197.89","200.84","201.74","202.26","376.95","142.00",933225,"18,87,56,158.32",13389
17-Mar-2026,EQ,"201.00","202.10","196.23","201.07","198.35","197.89","198.37","376.95","142.00",666906,"13,22,94,097.11",9199
16-Mar-2026,EQ,"195.20","206.35","192.68","195.15","200.59","201.07","200.13","376.95","142.00",1358248,"27,18,25,323.38",18990
13-Mar-2026,EQ,"204.20","204.75","194.00","203.92","195.00","195.15","197.80","376.95","142.00",547604,"10,83,13,657.77",8262
12-Mar-2026,EQ,"201.95","207.00","198.00","202.88","204.19","203.92","203.82","376.95","142.00",513952,"10,47,54,136.01",9574
11-Mar-2026,EQ,"203.53","210.70","201.50","201.25","202.90","202.88","204.90","376.95","142.00",1340896,"27,47,50,273.79",12789
10-Mar-2026,EQ,"199.85","201.80","195.20","195.87","201.10","201.25","198.40","376.95","142.00",513236,"10,18,26,949.07",7906
09-Mar-2026,EQ,"194.50","197.00","190.00","198.69","195.00","195.87","193.44","376.95","142.00",695441,"13,45,23,018.79",9633
06-Mar-2026,EQ,"194.00","201.40","192.53","196.98","196.55","198.69","197.31","376.95","135.49",824357,"16,26,51,404.04",10149
05-Mar-2026,EQ,"199.00","201.97","194.00","198.36","195.20","196.98","197.13","376.95","135.49",787901,"15,53,21,509.97",8895
04-Mar-2026,EQ,"200.00","203.93","196.00","204.36","199.00","198.36","199.65","376.95","135.49",691373,"13,80,34,934.16",10263
02-Mar-2026,EQ,"193.00","205.91","193.00","202.45","204.50","204.36","202.01","376.95","135.49",790656,"15,97,22,720.77",10542
27-Feb-2026,EQ,"207.75","209.80","201.50","207.75","203.90","202.45","204.46","376.95","135.49",995894,"20,36,20,722.35",13965
26-Feb-2026,EQ,"194.95","209.50","193.70","193.35","207.95","207.75","202.74","376.95","135.49",1813935,"36,77,54,380.10",22681
25-Feb-2026,EQ,"192.25","200.65","191.00","190.20","193.90","193.35","196.38","376.95","135.49",1418531,"27,85,65,133.75",17475
24-Feb-2026,EQ,"197.00","198.00","187.60","196.90","190.10","190.20","191.57","376.95","135.49",1444409,"27,67,02,914.25",20356
23-Feb-2026,EQ,"197.45","207.95","194.60","195.30","196.95","196.90","201.39","376.95","135.49",2220025,"44,70,97,411.05",33570
20-Feb-2026,EQ,"204.95","205.50","193.70","204.50","196.45","195.30","199.36","376.95","135.49",1242662,"24,77,32,171.40",14981
19-Feb-2026,EQ,"214.90","215.90","203.35","214.15","203.90","204.50","208.11","376.95","135.49",912505,"18,99,02,944.25",13861
18-Feb-2026,EQ,"216.10","217.85","212.80","215.05","214.85","214.15","214.89","376.95","135.49",639176,"13,73,50,296.35",8097
17-Feb-2026,EQ,"216.25","218.00","213.60","216.25","214.50","215.05","216.00","376.95","135.49",750183,"16,20,36,792.10",8792
16-Feb-2026,EQ,"222.00","224.80","215.30","221.95","215.75","216.25","218.73","376.95","135.49",805044,"17,60,85,999.70",12106
13-Feb-2026,EQ,"232.00","232.20","221.00","234.05","224.30","221.95","225.60","376.95","135.49",660272,"14,89,55,894.00",10284
